time,load12021,load24091,load32041,load26191,load80031,load20001,load32051,load63011,load36011,load39091,load39101,load24071,load26201,load39241,load61021,load25021,load62031,load40101,load31051,load26181,load34031,load64021,load39231,load39031,load38011,load33051,load32021,load62041,load63031,load41021,load26001,load32031,load41041,load65041,load39261,load26091,load65101,load64041,load39131,load50011,load39151,load24111,load41031,load24051,load33021,load10041,load63021,load34041,load80041,load39171,load24101,load33031,load65011,load40091,load26101,load26161,load65021,load62051,load39201,load38051,load50021,load24031,load26021,load31021,load26131,load24081,load25031,load12011,load31011,load40041,load13031,load42011,load34051,load42041,load26041,load24001,load24021,load14021,load39221,load26141,load22021,load70021,load39181,load39141,load34011,load10031,load62011,load21001,load39071,load65091,load40021,load65031,load39021,load63051,load11011,load14011,load31031,load39111,load22031,load40081,load42021,load65051,load65071,load70011,load11021,load26121,load38061,load13011,load33041,load31041,load39161,load39121,load10021,load26081,load39211,load61041,load26151,load64031,load64011,load40051,load61031,load39191,load26211,load24061,load65081,load38041,load37011,load80051,load24011,load35011,load26171,load42031,load41011,load50031,load13021,load39081,load26111,load32011,load62021
0.0,2.8713152160000006,-0.7802791920000005,0.8578122909999999,0.0,0.7662602687499998,2.8791599999999997,0.703312014532384,0.6753836513665441,0.13359957799999997,0.3733541756452,0.32761498886884793,-0.333251941962744,0.15742469063561393,0.4352056281517279,-3.452773313,-0.8303172992913055,1.4522178419174159,-8.881784197001252e-16,0.44182000000000005,-0.055432557341568156,0.6622499999999998,0.37800580636376,0.6049122024238579,0.288010900173824,0.4266914917600001,0.5522497400796748,0.7586930538227199,1.5681520996883282,0.9740441169999996,0.6866390899200003,4.440892098500626e-16,1.433434098621888,3.3566521705270276,0.39600015290392093,0.15252456839685313,0.24177454936574405,-1.0918537988198405,0.039930574272830976,0.392053038440742,17.21375145,0.485453711232144,0.6837457170862533,0.015218181376423,0.20640060615029987,0.7751837651139,0.05520923599999916,0.7787910740163664,0.5617343527580158,4.446990000000001,0.40318476210687687,0.5254019973882005,1.3564299999999996,0.6525041418712961,4.313953728,0.11659721072000001,0.21486484139810008,2.8277487566803994,0.863444925,0.21776133550399185,1.46795317875,11.743593556500004,0.3505373292309497,0.11699672612976009,0.224892341267779,0.581984351587548,-0.6536080019999997,1.8179261568400014,-0.020378029999878977,0.477151391069776,0.36047269344234795,8.133488918999998,4.6101332479999995,0.5817071307815682,1.3074867786573916,1.1102230246251565e-16,0.6982649819437317,0.7410966635916649,-6.016489914604968,0.30581232682992004,0.2506392635471359,2.449837811866498,-1.3806869404999969,0.6811006637473918,0.47513207334912,1.2417380481475002,3.668549599753897,0.26857410800000003,0.49347050849999985,0.5728760171386561,0.028673670905407997,0.228923028984375,1.44603479475,0.34423,0.19751764400000008,-1.3704431439999993,15.245942006249997,0.537990482756544,0.4376090172299999,2.504457989999998,0.3757599593137862,5.946259740000002,0.02382769265265601,-0.6459181823232,7.723503036,0.23649501528120007,0.22337108882560708,0.37229395294,3.52825633325,1.1068372517047478,0.3625282386795441,0.0,-0.005982721425000004,-5.999996630160003,0.11660086550000001,0.31339347700000003,2.1130940103647045,1.1828116332823997,0.0027229410000000004,2.4200851799292167,1.5741851040000003,0.5105605435125121,0.22961819017417512,-0.565501785413488,-0.3674949949338653,0.4370791711188851,0.5028752814915779,0.1584699999999999,1.6247357293281754,0.9476158201751197,0.8011400000000003,0.22381687945649992,5.857809558719403,1.29784440384,0.8174042331765761,0.022910537028574998,0.2267815152702879,0.11660086550000001,0.8910664588074602,0.13599803236256497
0.01,2.8713152159999007,-0.7802791919999703,0.8578122909999937,8.881784197001252e-16,0.7662602687499933,2.8791600000000512,0.7033120145323769,0.6753836513665492,0.1335995779999922,0.3733541756451976,0.3276149888688444,-0.33325194196273955,0.15742469063561332,0.4352056281517234,-3.45277331300001,-0.8303172992912851,1.4522178419173826,-8.881784197001252e-16,0.44181999999995947,-0.055432557341567934,0.6622499999999881,0.37800580636376213,0.6049122024238538,0.28801090017382014,0.42669149175999255,0.5522497400796702,0.7586930538227132,1.5681520996883032,0.974044117000052,0.6866390899199916,0.0,1.4334340986218765,3.3566521705269814,0.3960001529039214,0.1525245683968538,0.24177454936574247,-1.0918537988198422,0.039930574272830956,0.39205303844074024,17.213751449999318,0.4854537112321359,0.6837457170862267,0.015218181376422817,0.20640060615029876,0.7751837651138918,0.055209236000000494,0.7787910740163659,0.5617343527580079,4.446989999999961,0.4031847621068699,0.5254019973881925,1.356429999999989,0.652504141871297,4.313953727999917,0.11659721071999887,0.2148648413980983,2.8277487566804003,0.8634449250000008,0.2177613355039913,1.4679531787499285,11.743593556499926,0.3505373292309457,0.11699672612975914,0.22489234126777577,0.5819843515875435,-0.6536080019999917,1.8179261568399623,-0.02037802999987856,0.4771513910697691,0.36047269344233873,8.13348891900028,4.61013324799996,0.5817071307815633,1.307486778657369,-2.220446049250313e-16,0.6982649819437321,0.7410966635916476,-6.01648991460508,0.3058123268299167,0.25063926354713406,2.4498378118664865,-1.3806869405000182,0.6811006637473817,0.47513207334911056,1.2417380481474882,3.6685495997538724,0.268574107999986,0.4934705084999994,0.572876017138652,0.028673670905408035,0.22892302898437067,1.4460347947499999,0.3442299999999921,0.19751764400000046,-1.3704431439999567,15.245942006250582,0.5379904827565387,0.437609017229994,2.504457989999964,0.3757599593137807,5.946259739999863,0.023827692652655906,-0.6459181823232012,7.7235030360000145,0.2364950152811946,0.22337108882560636,0.3722939529400015,3.5282563332499937,1.1068372517047371,0.36252823867952444,0.0,-0.005982721424999948,-5.999996630159958,0.11660086550000134,0.3133934769999992,2.113094010364707,1.1828116332823928,0.00272294099999998,2.4200851799292202,1.5741851039999482,0.5105605435125147,0.2296181901741729,-0.565501785413483,-0.3674949949338615,0.43707917111888545,0.5028752814915709,0.15847000000000167,1.624735729328155,0.9476158201751081,0.8011399999999751,0.2238168794564983,5.857809558719273,1.2978444038399934,0.8174042331765705,0.022910537028575338,0.2267815152702869,0.11660086549999993,0.8910664588074518,0.13599803236256097
0.02,2.871315215999625,-0.7802791919999361,0.8578122909999845,-8.881784197001252e-16,0.7662602687499664,2.879160000000141,0.7033120145323619,0.675383651366568,0.1335995779999909,0.37335417564519713,0.3276149888688378,-0.3332519419627289,0.15742469063560988,0.4352056281517138,-3.4527733130000664,-0.830317299291254,1.4522178419173286,0.0,0.44181999999988436,-0.0554325573415666,0.6622499999999779,0.3780058063637719,0.6049122024238481,0.2880109001738128,0.4266914917599789,0.5522497400796607,0.7586930538226995,1.5681520996882536,0.9740441170001848,0.6866390899199736,0.0,1.4334340986218534,3.3566521705268944,0.3960001529039208,0.15252456839685735,0.24177454936573617,-1.0918537988198427,0.039930574272830935,0.39205303844074035,17.21375144999748,0.4854537112321146,0.6837457170862056,0.01521818137642248,0.20640060615029454,0.7751837651138733,0.055209235999999606,0.7787910740163673,0.561734352757995,4.446989999999919,0.4031847621068573,0.5254019973881809,1.3564299999999618,0.6525041418712968,4.313953727999779,0.11659721071999501,0.21486484139809214,2.8277487566803963,0.8634449249999956,0.21776133550399235,1.4679531787497861,11.743593556499777,0.3505373292309395,0.11699672612975573,0.22489234126776933,0.5819843515875267,-0.6536080019999715,1.8179261568398948,-0.020378029999877312,0.4771513910697559,0.3604726934423182,8.133488919000994,4.610133247999871,0.5817071307815549,1.3074867786573117,0.0,0.6982649819437325,0.7410966635916156,-6.0164899146053585,0.30581232682991244,0.25063926354712646,2.449837811866443,-1.3806869405000644,0.6811006637473656,0.47513207334908447,1.2417380481474642,3.668549599753791,0.2685741079999603,0.4934705084999922,0.5728760171386463,0.02867367090540798,0.2289230289843609,1.446034794749981,0.3442299999999823,0.19751764400000232,-1.3704431439998501,15.245942006252024,0.5379904827565284,0.4376090172299872,2.504457989999862,0.37575995931376605,5.946259739999622,0.023827692652655483,-0.6459181823232013,7.723503036000039,0.23649501528118066,0.22337108882560186,0.37229395294000245,3.528256333250023,1.1068372517047136,0.3625282386794879,2.7755575615628914e-17,-0.005982721424999837,-5.999996630159827,0.11660086550000456,0.31339347699999753,2.1130940103647338,1.1828116332823635,0.0027229409999999492,2.420085179929245,1.5741851039998338,0.5105605435125259,0.22961819017417118,-0.5655017854134655,-0.36749499493385196,0.4370791711188834,0.5028752814915599,0.15847000000000833,1.6247357293281137,0.9476158201750606,0.8011399999999027,0.2238168794564923,5.857809558719033,1.2978444038399801,0.8174042331765594,0.022910537028576206,0.22678151527028628,0.11660086549999807,0.8910664588074363,0.1359980323625534
0.03,2.8713152159992417,-0.7802791919999041,0.8578122909999709,0.0,0.7662602687499376,2.8791600000002884,0.7033120145323403,0.6753836513665927,0.1335995779999896,0.37335417564519674,0.3276149888688296,-0.3332519419627147,0.15742469063560516,0.4352056281517012,-3.4527733130001375,-0.8303172992912247,1.4522178419172413,0.0,0.4418199999997818,-0.05543255734156549,0.662249999999962,0.3780058063637851,0.6049122024238406,0.288010900173803,0.42669149175995885,0.5522497400796471,0.7586930538226815,1.568152099688175,0.9740441170003726,0.6866390899199475,-4.440892098500626e-16,1.433434098621822,3.3566521705267727,0.39600015290392104,0.15252456839686246,0.24177454936572806,-1.091853798819845,0.03993057427283088,0.3920530384407408,17.213751449994867,0.48545371123208425,0.6837457170861656,0.015218181376421972,0.20640060615028832,0.7751837651138471,0.05520923599999872,0.7787910740163682,0.5617343527579769,4.446989999999856,0.4031847621068396,0.525401997388161,1.356429999999925,0.6525041418712985,4.313953727999585,0.11659721071998995,0.21486484139808448,2.827748756680397,0.8634449249999847,0.21776133550399407,1.4679531787495863,11.743593556499567,0.35053732923093417,0.11699672612975187,0.2248923412677602,0.5819843515875058,-0.6536080019999426,1.8179261568398255,-0.02037802999987562,0.4771513910697362,0.3604726934422894,8.133488919002005,4.610133247999743,0.5817071307815425,1.3074867786572322,0.0,0.6982649819437374,0.7410966635915854,-6.016489914605771,0.3058123268299065,0.2506392635471177,2.4498378118664057,-1.3806869405001319,0.6811006637473429,0.4751320733490458,1.2417380481474292,3.6685495997536903,0.26857410799992076,0.4934705084999832,0.5728760171386388,0.028673670905407997,0.2289230289843469,1.4460347947499554,0.3442299999999681,0.19751764400000454,-1.3704431439997027,15.245942006254067,0.5379904827565132,0.4376090172299792,2.5044579899997235,0.3757599593137459,5.94625973999928,0.023827692652654917,-0.6459181823232015,7.723503036000071,0.23649501528116157,0.22337108882559528,0.3722939529400046,3.52825633325008,1.1068372517046807,0.3625282386794375,2.7755575615628914e-17,-0.005982721424999671,-5.999996630159662,0.11660086550000798,0.3133934769999951,2.1130940103647653,1.182811633282325,0.002722940999999897,2.4200851799292797,1.5741851039996724,0.5105605435125405,0.22961819017416896,-0.5655017854134455,-0.3674949949338382,0.43707917111888134,0.5028752814915441,0.15847000000001765,1.6247357293280564,0.9476158201750191,0.8011399999997952,0.22381687945648462,5.857809558718689,1.2978444038399624,0.8174042331765441,0.022910537028577427,0.22678151527028595,0.11660086549999546,0.8910664588074153,0.1359980323625418
0.04,2.8713152159987545,-0.7802791919998655,0.8578122909999496,0.0,0.7662602687498898,2.879160000000473,0.7033120145323093,0.6753836513666255,0.13359957799998834,0.3733541756451946,0.32761498886881746,-0.3332519419626969,0.15742469063560022,0.43520562815168246,-3.4527733130002334,-0.8303172992911918,1.4522178419171312,0.0,0.44181999999964494,-0.05543255734156394,0.6622499999999396,0.37800580636380055,0.6049122024238294,0.2880109001737895,0.42669149175993515,0.5522497400796267,0.7586930538226537,1.5681520996880745,0.9740441170006142,0.6866390899199142,0.0,1.433434098621774,3.3566521705266137,0.3960001529039209,0.1525245683968679,0.24177454936571924,-1.0918537988198467,0.03993057427283077,0.3920530384407397,17.213751449991484,0.48545371123204284,0.6837457170861161,0.015218181376421325,0.20640060615028166,0.7751837651138094,0.055209235999997386,0.7787910740163686,0.5617343527579541,4.446989999999752,0.40318476210681736,0.5254019973881392,1.3564299999998695,0.6525041418712998,4.313953727999326,0.11659721071998379,0.2148648413980757,2.8277487566803923,0.8634449249999708,0.21776133550399523,1.467953178749323,11.74359355649928,0.35053732923092884,0.11699672612974768,0.2248923412677471,0.5819843515874821,-0.6536080019999064,1.8179261568397385,-0.020378029999873565,0.4771513910697084,0.36047269344225114,8.133488919003318,4.61013324799958,0.581707130781528,1.3074867786571283,0.0,0.6982649819437459,0.7410966635915526,-6.016489914606309,0.3058123268298977,0.25063926354710747,2.449837811866354,-1.3806869405002136,0.6811006637473128,0.47513207334899465,1.2417380481473896,3.668549599753558,0.26857410799987047,0.4934705084999702,0.5728760171386279,0.02867367090540795,0.22892302898432826,1.4460347947499175,0.34422999999995074,0.19751764400000765,-1.370443143999509,15.24594200625674,0.5379904827564899,0.43760901722996726,2.5044579899995476,0.3757599593137189,5.946259739998833,0.023827692652654213,-0.6459181823232006,7.723503036000121,0.23649501528113645,0.22337108882558873,0.3722939529400049,3.528256333250158,1.1068372517046319,0.3625282386793698,2.7755575615628914e-17,-0.00598272142499956,-5.999996630159443,0.1166008655000133,0.3133934769999915,2.1130940103648084,1.1828116332822836,0.0027229409999998313,2.4200851799293117,1.5741851039994625,0.51056054351256,0.2296181901741649,-0.5655017854134228,-0.3674949949338224,0.43707917111887784,0.502875281491524,0.1584700000000281,1.6247357293279792,0.9476158201749774,0.8011399999996562,0.22381687945647616,5.857809558718246,1.2978444038399377,0.8174042331765228,0.022910537028579037,0.22678151527028434,0.11660086549999293,0.8910664588073842,0.135998032362527
0.05,2.871315215998169,-0.7802791919998238,0.8578122909999253,0.0,0.7662602687498308,2.879160000000697,0.7033120145322733,0.6753836513666656,0.1335995779999882,0.37335417564519235,0.3276149888688035,-0.3332519419626738,0.1574246906355939,0.43520562815166064,-3.4527733130003493,-0.8303172992911501,1.452217841917003,0.0,0.44181999999948446,-0.05543255734156216,0.6622499999999233,0.3780058063638192,0.6049122024238154,0.28801090017377334,0.42669149175990534,0.552249740079604,0.758693053822622,1.5681520996879545,0.974044117000906,0.6866390899198737,-4.440892098500626e-16,1.4334340986217193,3.3566521705264254,0.396000152903922,0.152524568396875,0.24177454936570758,-1.091853798819853,0.03993057427283073,0.39205303844073847,17.213751449987406,0.48545371123199366,0.683745717086057,0.015218181376420573,0.20640060615027367,0.775183765113766,0.0552092359999965,0.7787910740163682,0.5617343527579298,4.44698999999965,0.4031847621067912,0.5254019973881121,1.3564299999998046,0.6525041418713033,4.3139537279990225,0.11659721071997564,0.21486484139806375,2.8277487566803985,0.8634449249999524,0.2177613355039969,1.4679531787490103,11.743593556498917,0.35053732923092396,0.11699672612974221,0.22489234126773236,0.5819843515874501,-0.6536080019998607,1.8179261568396372,-0.02037802999987104,0.47715139106967713,0.3604726934422063,8.133488919004902,4.610133247999381,0.5817071307815136,1.3074867786570037,2.220446049250313e-16,0.698264981943757,0.7410966635915122,-6.016489914606952,0.3058123268298873,0.25063926354709354,2.449837811866294,-1.3806869405003166,0.6811006637472774,0.4751320733489338,1.2417380481473517,3.668549599753386,0.26857410799981085,0.4934705084999582,0.5728760171386169,0.028673670905408025,0.22892302898430678,1.4460347947498777,0.34422999999992904,0.19751764400001165,-1.3704431439992728,15.245942006259963,0.537990482756465,0.4376090172299537,2.504457989999336,0.37575995931368705,5.946259739998299,0.023827692652653314,-0.6459181823232013,7.7235030360001495,0.23649501528110609,0.22337108882558046,0.3722939529400068,3.528256333250245,1.1068372517045755,0.36252823867929074,0.0,-0.005982721424999282,-5.999996630159163,0.11660086550001997,0.3133934769999874,2.113094010364862,1.1828116332822305,0.002722940999999766,2.4200851799293606,1.574185103999211,0.5105605435125837,0.2296181901741604,-0.5655017854133915,-0.36749499493380244,0.43707917111887534,0.5028752814915025,0.15847000000004097,1.6247357293278832,0.9476158201749192,0.8011399999994901,0.22381687945646472,5.8578095587177135,1.2978444038399093,0.8174042331764968,0.022910537028580952,0.22678151527028317,0.1166008654999901,0.8910664588073481,0.13599803236250935
0.06,2.8713152159974813,-0.7802791919997478,0.8578122909998945,0.0,0.7662602687497757,2.879160000000973,0.7033120145322295,0.6753836513667117,0.13359957799998784,0.37335417564518864,0.3276149888687877,-0.3332519419626454,0.15742469063558384,0.435205628151635,-3.4527733130004834,-0.8303172992910834,1.452217841916853,0.0,0.44181999999929344,-0.05543255734155905,0.6622499999999024,0.37800580636384074,0.6049122024237977,0.2880109001737544,0.4266914917598676,0.5522497400795752,0.7586930538225838,1.5681520996878153,0.9740441170012448,0.6866390899198271,4.440892098500626e-16,1.4334340986216527,3.3566521705262096,0.3960001529039203,0.15252456839688255,0.2417745493656909,-1.091853798819854,0.039930574272830636,0.3920530384407359,17.213751449982723,0.48545371123193565,0.6837457170859806,0.015218181376419677,0.20640060615026012,0.7751837651137137,0.05520923599999561,0.7787910740163704,0.5617343527578975,4.44698999999953,0.40318476210675874,0.5254019973880726,1.3564299999997285,0.652504141871303,4.313953727998673,0.11659721071996611,0.21486484139804818,2.8277487566803843,0.8634449249999325,0.21776133550399812,1.467953178748644,11.743593556498507,0.35053732923091196,0.11699672612973402,0.22489234126771399,0.5819843515874079,-0.6536080019998063,1.8179261568394889,-0.02037802999986793,0.47715139106963816,0.360472693442154,8.133488919006698,4.610133247999157,0.5817071307814903,1.307486778656861,0.0,0.698264981943761,0.7410966635914447,-6.016489914607675,0.3058123268298749,0.2506392635470752,2.4498378118662103,-1.3806869405004338,0.6811006637472337,0.4751320733488618,1.2417380481472882,3.668549599753177,0.26857410799974096,0.4934705084999388,0.5728760171386006,0.028673670905407882,0.2289230289842815,1.4460347947498273,0.34422999999990206,0.1975176440000161,-1.3704431439990028,15.245942006263657,0.5379904827564326,0.4376090172299404,2.5044579899990786,0.37575995931365047,5.94625973999769,0.023827692652652208,-0.6459181823231994,7.7235030360002135,0.23649501528107073,0.22337108882556683,0.3722939529400073,3.528256333250332,1.106837251704508,0.36252823867919637,-2.7755575615628914e-17,-0.005982721424999005,-5.9999966301588215,0.11660086550002544,0.31339347699998343,2.113094010364921,1.1828116332821508,0.002722940999999697,2.4200851799294085,1.5741851039989212,0.5105605435126107,0.2296181901741547,-0.5655017854133499,-0.36749499493377535,0.43707917111886957,0.5028752814914739,0.15847000000005584,1.624735729327777,0.947615820174829,0.801139999999295,0.22381687945644912,5.857809558717104,1.2978444038398753,0.817404233176467,0.02291053702858306,0.22678151527028056,0.11660086549998441,0.8910664588073043,0.1359980323624888
0.07,2.87131521599671,-0.7802791919996994,0.8578122909998601,0.0,0.7662602687497064,2.879160000001283,0.7033120145321813,0.675383651366764,0.1335995779999839,0.3733541756451828,0.3276149888687688,-0.33325194196261343,0.1574246906355754,0.43520562815160624,-3.45277331300064,-0.830317299291031,1.4522178419166845,8.881784197001252e-16,0.4418199999990789,-0.05543255734155639,0.6622499999998697,0.3780058063638614,0.6049122024237783,0.28801090017373293,0.42669149175982607,0.5522497400795434,0.7586930538225413,1.568152099687656,0.974044117001625,0.6866390899197735,4.440892098500626e-16,1.4334340986215786,3.3566521705259547,0.39600015290392115,0.15252456839689021,0.24177454936567624,-1.0918537988198607,0.03993057427283039,0.3920530384407319,17.213751449977423,0.4854537112318711,0.6837457170859012,0.015218181376418657,0.20640060615024924,0.7751837651136559,0.05520923599999339,0.7787910740163753,0.5617343527578602,4.446989999999381,0.40318476210672277,0.5254019973880353,1.3564299999996448,0.6525041418713067,4.313953727998264,0.1165972107199563,0.21486484139803383,2.827748756680386,0.8634449249999083,0.2177613355039985,1.4679531787482332,11.743593556498036,0.3505373292309044,0.11699672612972684,0.22489234126769364,0.5819843515873688,-0.6536080019997468,1.8179261568393592,-0.0203780299998646,0.4771513910695949,0.3604726934420946,8.133488919008702,4.610133247998893,0.5817071307814634,1.3074867786566957,0.0,0.6982649819437738,0.7410966635913927,-6.016489914608497,0.30581232682986015,0.2506392635470585,2.4498378118661437,-1.380686940500567,0.6811006637471861,0.47513207334878205,1.2417380481472162,3.668549599752939,0.26857410799966164,0.4934705084999207,0.5728760171385812,0.028673670905407914,0.22892302898425254,1.4460347947497791,0.34422999999987414,0.19751764400002123,-1.370443143998699,15.245942006267825,0.5379904827563966,0.4376090172299213,2.5044579899988095,0.37575995931360767,5.946259739996983,0.023827692652650986,-0.6459181823231996,7.723503036000309,0.2364950152810308,0.22337108882555548,0.3722939529400076,3.5282563332504395,1.1068372517044343,0.3625282386790899,2.7755575615628914e-17,-0.0059827214249986715,-5.999996630158429,0.11660086550003348,0.313393476999978,2.1130940103649922,1.182811633282082,0.0027229409999995962,2.420085179929446,1.5741851039985926,0.5105605435126421,0.22961819017414725,-0.5655017854133123,-0.3674949949337487,0.4370791711188659,0.5028752814914408,0.15847000000007094,1.6247357293276536,0.9476158201747475,0.8011399999990781,0.22381687945643508,5.8578095587164025,1.2978444038398365,0.8174042331764333,0.022910537028585407,0.22678151527027712,0.11660086549998003,0.8910664588072553,0.13599803236246538
0.08,2.871315215995869,-0.7802791919996408,0.8578122909998235,-8.881784197001252e-16,0.7662602687496288,2.8791600000016295,0.7033120145321279,0.6753836513668242,0.13359957799997962,0.3733541756451775,0.32761498886874835,-0.33325194196258145,0.15742469063556797,0.4352056281515744,-3.4527733130008214,-0.8303172992909724,1.4522178419165037,0.0,0.44181999999884736,-0.05543255734155483,0.662249999999839,0.37800580636388526,0.6049122024237574,0.2880109001737098,0.4266914917597836,0.5522497400795092,0.7586930538224943,1.5681520996874794,0.9740441170020442,0.6866390899197145,4.440892098500626e-16,1.4334340986214986,3.356652170525682,0.3960001529039202,0.15252456839689887,0.2417745493656615,-1.091853798819864,0.03993057427283005,0.39205303844072814,17.213751449971618,0.48545371123179937,0.6837457170858361,0.015218181376417561,0.2064006061502397,0.7751837651135933,0.05520923599999206,0.7787910740163788,0.5617343527578227,4.446989999999221,0.4031847621066856,0.5254019973880042,1.3564299999995533,0.6525041418713083,4.313953727997829,0.1165972107199454,0.21486484139801854,2.8277487566803767,0.8634449249998778,0.21776133550399934,1.467953178747799,11.743593556497514,0.3505373292308982,0.11699672612971995,0.22489234126767174,0.5819843515873274,-0.6536080019996804,1.8179261568392127,-0.02037802999986088,0.47715139106954857,0.36047269344203003,8.133488919010889,4.610133247998613,0.5817071307814374,1.307486778656516,0.0,0.6982649819437907,0.7410966635913372,-6.016489914609412,0.30581232682984394,0.2506392635470408,2.4498378118660646,-1.3806869405007145,0.6811006637471355,0.4751320733486931,1.2417380481471478,3.668549599752687,0.2685741079995756,0.49347050849990326,0.5728760171385616,0.028673670905407823,0.22892302898422104,1.4460347947497243,0.34422999999984405,0.19751764400002686,-1.3704431439983633,15.245942006272411,0.5379904827563586,0.43760901722990087,2.5044579899985147,0.3757599593135612,5.946259739996212,0.0238276926526497,-0.6459181823231984,7.723503036000391,0.23649501528098762,0.22337108882554588,0.37229395294000867,3.5282563332505683,1.1068372517043539,0.3625282386789759,2.7755575615628914e-17,-0.0059827214249984495,-5.9999966301580185,0.11660086550004395,0.3133934769999723,2.113094010365073,1.1828116332820158,0.0027229409999994835,2.4200851799294902,1.5741851039982344,0.5105605435126777,0.2296181901741396,-0.5655017854132727,-0.36749499493372273,0.43707917111886047,0.5028752814914081,0.15847000000008826,1.6247357293275213,0.9476158201746714,0.8011399999988357,0.22381687945642054,5.857809558715635,1.2978444038397963,0.8174042331763949,0.022910537028587967,0.2267815152702738,0.11660086549997678,0.8910664588072013,0.1359980323624398
0.09,2.871315215994952,-0.7802791919995586,0.8578122909997821,8.881784197001252e-16,0.7662602687495406,2.8791600000019955,0.7033120145320687,0.6753836513668922,0.13359957799997482,0.3733541756451694,0.3276149888687251,-0.3332519419625415,0.15742469063555747,0.4352056281515388,-3.452773313001034,-0.8303172992909005,1.4522178419163119,0.0,0.4418199999985915,-0.0554325573415515,0.6622499999998059,0.37800580636390624,0.6049122024237334,0.2880109001736839,0.4266914917597364,0.552249740079471,0.7586930538224422,1.568152099687292,0.9740441170024985,0.6866390899196513,-4.440892098500626e-16,1.4334340986214074,3.356652170525388,0.39600015290392115,0.1525245683969072,0.2417745493656429,-1.0918537988198715,0.039930574272829644,0.39205303844072226,17.213751449965336,0.4854537112317206,0.6837457170857479,0.01521818137641635,0.20640060615022615,0.7751837651135219,0.05520923599998939,0.7787910740163833,0.5617343527577792,4.446989999999041,0.4031847621066426,0.5254019973879616,1.356429999999448,0.6525041418713129,4.3139537279973545,0.11659721071993336,0.21486484139800022,2.827748756680382,0.8634449249998475,0.2177613355039988,1.4679531787473123,11.743593556496934,0.35053732923088665,0.1169967261297111,0.22489234126764762,0.581984351587278,-0.6536080019996056,1.8179261568390475,-0.020378029999856856,0.47715139106949694,0.3604726934419602,8.133488919013233,4.6101332479982995,0.5817071307814072,1.3074867786563233,-1.1102230246251565e-16,0.6982649819438049,0.7410966635912644,-6.016489914610384,0.3058123268298259,0.2506392635470196,2.449837811865975,-1.3806869405008708,0.6811006637470765,0.4751320733485956,1.2417380481470677,3.6685495997523914,0.2685741079994826,0.4934705084998835,0.5728760171385389,0.028673670905407893,0.22892302898418765,1.446034794749668,0.34422999999980847,0.1975176440000331,-1.3704431439980045,15.245942006277355,0.5379904827563164,0.4376090172298779,2.504457989998185,0.3757599593135111,5.946259739995382,0.02382769265264825,-0.6459181823231988,7.7235030360004835,0.23649501528094016,0.22337108882553175,0.3722939529400072,3.528256333250705,1.106837251704261,0.3625282386788492,2.7755575615628914e-17,-0.005982721424998061,-5.999996630157536,0.11660086550005333,0.3133934769999661,2.1130940103651685,1.1828116332819296,0.0027229409999993555,2.4200851799295124,1.5741851039978474,0.5105605435127185,0.22961819017413032,-0.5655017854132247,-0.36749499493368987,0.4370791711188565,0.5028752814913701,0.1584700000001047,1.6247357293273708,0.9476158201745728,0.801139999998573,0.22381687945640272,5.857809558714813,1.297844403839751,0.8174042331763534,0.02291053702859066,0.22678151527026913,0.1166008654999712,0.8910664588071413,0.13599803236241217
